Season No.:,Filming Location:,Filming Dates:,Season Run:,No. of Episodes:,No. of Days:,No. of Castaways:,Winner:,Tribes:
26,"Caramoan, Camarines Sur, Philippines","May 21, 2012 - June 28, 2012","February 13, 2013 - May 12, 2013",14,39,20,John Cochran,"Bikal, Gota, Enil Edam"
27,"Palaui Island, Santa Ana, Cagayan, Philippines","May 19, 2013 - June 27, 2013","September 18, 2013 - December 15, 2013",15,39,20,Tyson Apostol,"Galang, Tadhana, Kasama"
28,"Palaui Island, Santa Ana, Cagayan, Philippines","July 11, 2013 - August 18, 2013","February 26, 2014 - May 21, 2014",14,39,18,Tony Vlachos,"Aparri, Luzon, Solana, Solarrion"
29,"San Juan del Sur, Rivas, Nicaragua","June 2, 2014 - July 10, 2014","September 24, 2014 - December 17, 2014",15,39,18,Natalie Anderson,"Coyopa, Hunahpu, Huyopa"
30,"San Juan del Sur, Rivas, Nicaragua","August 4, 2014 - September 11, 2014","February 25, 2015 - May 20, 2015",15,39,18,Mike Holloway,"Escameca, Masaya, Nagarote, Merica"
31,"Koh Rong, Cambodia","May 31, 2015 - July 8, 2015","September 23, 2015 - December 16, 2015",15,39,20,Jeremy Collins,"Bayon, Ta Keo, Angkor, Orkun"
32,"Koh Rong, Cambodia","March 30, 2015 - May 7, 2015","February 17, 2016 - May 18, 2016",14,39,18,Michele Fitzgerald,"Chan Loh, Gondol, To Tang, Dara"
33,"Mamanuca Islands, Fiji","April 4, 2016 - May 12, 2016[2]","September 21, 2016 - December 14, 2016[1]",14,39,20,Adam Klein,"Takali, Vanua, Ikabula, Vinaka"
34,"Mamanuca Islands, Fiji","June 6, 2016 - July 14, 2016[2]","March 8, 2017 - May 24, 2017[1]",13,39,20,Sarah Lacina,"Mana, Nuku, Tavua, Maku Maku"
35,"Mamanuca Islands, Fiji","April 3, 2017 - May 11, 2017[1]","September 27, 2017 - December 20, 2017",14,39,18,Ben Driebergen,"Levu, Soko, Yawa, Solewa"
36,"Mamanuca Islands, Fiji","June 5, 2017 - July 13, 2017[2]","February 28, 2018 - May 23, 2018[1]",14,39,20,Wendell Holland,"Malolo, Naviti, Yanuya, Lavita"
37,"Mamanuca Islands, Fiji","March 29, 2018 - May 6, 2018[3]","September 26, 2018[1] - December 19, 2018[2]",14,39,20,Nick Wilson,"David/Vuku, Goliath/Jabeni, Tiva, Kalokalo"
